origem,Campeonato,Temporada,Rodada,Data,Hora,time_casa,time_visitante,id,StatusPartida,RodadaMarcada,placar_casa,placar_visitante,Times_Partidas,DataHora,date,Total de finalizações__home_team,Total de finalizações__away_team,Finalizações no alvo__home_team,Finalizações no alvo__away_team,Chances claras__home_team,Chances claras__away_team,Escanteios__home_team,Escanteios__away_team,Cartões amarelos__home_team,Cartões amarelos__away_team,Impedimentos__home_team,Impedimentos__away_team,Faltas__home_team,Faltas__away_team,Cartões vermelhos__home_team,Cartões vermelhos__away_team
Itália,Serie A,2024/2025,RODADA 33,20/04/2025,15:45,AC Milan,Atalanta,AC_Milan_vs_Atalanta_20/04/2025,Partida Encerrada,,0.0,1.0,AC Milan x Atalanta,20/04/2025 15:45:00,20/04/2025,12,11,1,2,0,2,7,5,,,2,1,8,7,,
Itália,Serie A,2024/2025,RODADA 36,09/05/2025,15:45,AC Milan,Bologna,AC_Milan_vs_Bologna_09/05/2025,Partida Encerrada,,3.0,1.0,AC Milan x Bologna,09/05/2025 15:45:00,09/05/2025,10,10,5,4,3,0,3,4,2,2,1,2,5,14,,
Itália,Serie A,2024/2025,RODADA 29,15/03/2025,14:00,AC Milan,Como,AC_Milan_vs_Como_15/03/2025,Partida Encerrada,,2.0,1.0,AC Milan x Como,15/03/2025 14:00:00,15/03/2025,9,15,3,6,3,2,0,5,3,3,0,2,21,7,0,1
Europa,UEFA,2024/2025,RODADA 6,11/12/2024,17:00,AC Milan,Crvena zvezda,AC_Milan_vs_Crvena_zvezda_11/12/2024,Partida Encerrada,,2.0,1.0,AC Milan x Crvena zvezda,11/12/2024 17:00:00,11/12/2024,20,9,10,4,4,1,6,4,3,3,1,2,18,11,,
Europa,UEFA,2024/2025,16 AVOS DE FINAL,18/02/2025,14:45,AC Milan,Feyenoord,AC_Milan_vs_Feyenoord_18/02/2025,Partida Encerrada,,1.0,1.0,AC Milan x Feyenoord,18/02/2025 14:45:00,18/02/2025,18,6,7,1,1,2,4,3,4,2,0,1,11,10,1,1
Itália,Serie A,2024/2025,RODADA 31,05/04/2025,15:45,AC Milan,Fiorentina,AC_Milan_vs_Fiorentina_05/04/2025,Partida Encerrada,,2.0,2.0,AC Milan x Fiorentina,05/04/2025 15:45:00,05/04/2025,19,15,6,8,3,6,7,4,4,3,2,4,12,12,,
Europa,UEFA,2024/2025,RODADA 7,22/01/2025,17:00,AC Milan,Girona,AC_Milan_vs_Girona_22/01/2025,Partida Encerrada,,1.0,0.0,AC Milan x Girona,22/01/2025 17:00:00,22/01/2025,17,11,5,4,2,3,6,3,2,2,1,3,12,18,,
Itália,Serie A,2024/2025,RODADA 27,02/03/2025,16:45,AC Milan,Lazio,AC_Milan_vs_Lazio_02/03/2025,Partida Encerrada,,1.0,2.0,AC Milan x Lazio,02/03/2025 16:45:00,02/03/2025,15,21,4,8,1,3,3,5,2,1,0,1,14,6,1,0
Itália,Serie A,2024/2025,RODADA 38,24/05/2025,15:45,AC Milan,Monza,AC_Milan_vs_Monza_24/05/2025,Partida Encerrada,,2.0,0.0,AC Milan x Monza,24/05/2025 15:45:00,24/05/2025,21,6,6,2,3,1,4,6,,,0,6,8,9,,
Portugal,Liga Portugal,2024/2025,RODADA 32,05/05/2025,16:15,AFS,Boavista,AFS_vs_Boavista_05/05/2025,Partida Encerrada,,1.0,2.0,AFS x Boavista,05/05/2025 16:15:00,05/05/2025,13,14,5,3,4,1,4,5,4,2,2,1,21,12,,
Portugal,Liga Portugal,2024/2025,RODADA 34,17/05/2025,14:00,AFS,Moreirense,AFS_vs_Moreirense_17/05/2025,Partida Encerrada,,0.0,3.0,AFS x Moreirense,17/05/2025 14:00:00,17/05/2025,8,19,3,11,0,1,2,4,7,3,2,2,24,10,1,0
Portugal,Liga Portugal,2024/2025,FINAL,24/05/2025,15:45,AFS,Vizela,AFS_vs_Vizela_24/05/2025,Partida Encerrada,,3.0,0.0,AFS x Vizela,24/05/2025 15:45:00,24/05/2025,12,15,5,3,4,0,3,7,2,4,0,3,13,14,,
Suécia,Allsvenskan,2025,RODADA 23,15/09/2025,14:00,AIK Stockholm,Brommapojkarna,AIK_Stockholm_vs_Brommapojkarna_15/09/2025,Partida não Iniciada,,,,AIK Stockholm x Brommapojkarna,15/09/2025 14:00:00,,,,,,,,,,,,,,,,,
Suécia,Allsvenskan,2025,RODADA 15,13/07/2025,11:30,AIK Stockholm,Degerfors,AIK_Stockholm_vs_Degerfors_13/07/2025,Partida não Iniciada,,,,AIK Stockholm x Degerfors,13/07/2025 11:30:00,,,,,,,,,,,,,,,,,
Suécia,Allsvenskan,2025,RODADA 19,10/08/2025,09:00,AIK Stockholm,Djurgarden,AIK_Stockholm_vs_Djurgarden_10/08/2025,Partida não Iniciada,,,,AIK Stockholm x Djurgarden,10/08/2025 09:00:00,,,,,,,,,,,,,,,,,
Suécia,Allsvenskan,2025,RODADA 6,27/04/2025,11:00,AIK Stockholm,Elfsborg,AIK_Stockholm_vs_Elfsborg_27/04/2025,Partida Encerrada,,2.0,0.0,AIK Stockholm x Elfsborg,27/04/2025 11:00:00,27/04/2025,15,11,6,3,2,1,2,4,2,0,0,0,17,11,,
Suécia,Allsvenskan,2025,RODADA 13,29/06/2025,09:00,AIK Stockholm,Göteborg,AIK_Stockholm_vs_Goteborg_29/06/2025,Partida não Iniciada,,,,AIK Stockholm x Göteborg,29/06/2025 09:00:00,,,,,,,,,,,,,,,,,
Suécia,Allsvenskan,2025,RODADA 10,18/05/2025,09:00,AIK Stockholm,Hammarby,AIK_Stockholm_vs_Hammarby_18/05/2025,Partida Encerrada,,0.0,0.0,AIK Stockholm x Hammarby,18/05/2025 09:00:00,18/05/2025,15,9,2,2,2,1,7,4,3,3,0,2,12,11,,
Suécia,Allsvenskan,2025,RODADA 3,14/04/2025,14:10,AIK Stockholm,Malmö FF,AIK_Stockholm_vs_Malmo_FF_14/04/2025,Partida Encerrada,,0.0,0.0,AIK Stockholm x Malmö FF,14/04/2025 14:10:00,14/04/2025,14,8,3,1,1,1,5,5,1,2,4,1,9,9,,
Suécia,Allsvenskan,2025,RODADA 8,11/05/2025,09:00,AIK Stockholm,Mjallby,AIK_Stockholm_vs_Mjallby_11/05/2025,Partida Encerrada,,2.0,1.0,AIK Stockholm x Mjallby,11/05/2025 09:00:00,11/05/2025,12,14,6,4,2,3,7,6,2,2,2,1,11,8,,
