Campeonato,Confronto,Periodo,DataHora,Gols Mandante (média),Gols Sofridos Mandante (média),Gols Visitante (média),Gols Sofridos Visitante (média),Gols Esperados Mandante,Gols Esperados Visitante,Prob Vitória Mandante (%),Prob Empate (%),Prob Vitória Visitante (%),Prob Ambos Marcam (BTTS) (%),Prob +1.5 Gols (%),Prob +2.5 Gols (%),Prob +3.5 Gols (%)
2. Bundesliga,Magdeburg x Dusseldorf,Últimos 15 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Ulm x Munster,Últimos 15 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Furth x Hamburger SV,Últimos 15 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Hertha x Hannover,Últimos 15 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Karlsruher x Paderborn,Últimos 15 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Braunschweig x Nurnberg,Últimos 15 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Schalke x Elversberg,Últimos 15 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Darmstadt x Regensburg,Últimos 15 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Köln x Kaiserslautern,Últimos 15 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allsvenskan,Göteborg x Djurgarden,Últimos 15 dias,2025-05-12 14:10:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brasileirão A,Santos x Ceará,Últimos 15 dias,2025-05-12 20:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brasileirão B,Botafogo-SP x Athletic Club,Últimos 15 dias,2025-05-12 19:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brasileirão B,Amazonas x CRB,Últimos 15 dias,2025-05-12 21:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Monchengladbach x Wolfsburg,Últimos 15 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Augsburg x Union Berlin,Últimos 15 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Heidenheim x Bremen,Últimos 15 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,St. Pauli x Bochum,Últimos 15 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Mainz x Leverkusen,Últimos 15 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Hoffenheim x Bayern,Últimos 15 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Freiburg x Frankfurt,Últimos 15 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Dortmund x Kiel,Últimos 15 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,RB Leipzig x Stuttgart,Últimos 15 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Championship,Sheffield Utd x Bristol City,Últimos 15 dias,2025-05-12 16:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copa da Alemanha,Bielefeld x Stuttgart,Últimos 15 dias,2025-05-24 15:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copa do Brasil,Vasco x Operário,Últimos 15 dias,2025-05-20 19:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copa do Brasil,Athletico-PR x Brusque,Últimos 15 dias,2025-05-20 19:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copa do Brasil,Náutico x São Paulo,Últimos 15 dias,2025-05-20 21:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copa do Brasil,Grêmio x CSA,Últimos 15 dias,2025-05-20 21:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliteserien,Viking x Sandefjord,Últimos 15 dias,2025-05-16 13:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliteserien,Tromsö x Bodo/Glimt,Últimos 15 dias,2025-05-16 13:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliteserien,Strömsgodset x Bryne,Últimos 15 dias,2025-05-16 13:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
